,Numero Red,MSE-Min,MSE-Max,MSE-Prom
0,1,0.05770844554050506,0.26360683906350063,0.12716565817650877
1,2,0.11578700142908215,0.5077067037093564,0.27203851368185444
2,3,0.10819655695823727,0.4307677645924791,0.2609847128600366
3,4,0.07362646584243113,0.27174939436072304,0.14579791148274937
4,5,0.04947516328503074,0.19698683296005795,0.09969118137527345
5,6,0.054282565330707314,0.34449224015282653,0.14583726490362406
6,7,0.033115048598297295,0.1213833539423929,0.06280555988006745
7,8,0.07044531771664944,0.24881931464173873,0.13549532302323597
8,9,0.056211439488582975,0.31811960625260016,0.1516119245144609
9,10,0.061676366414165615,0.23796828743407228,0.12479847937269907
10,11,0.06245730479191901,0.24297131386909165,0.12845716620999192
11,12,0.03176590288694284,0.09503235161020386,0.05439041744000279
12,13,0.056227153076721714,0.21789675339100933,0.11222523814293708
13,14,0.037173783803695244,0.19502367366949225,0.08502708260190653
14,15,0.05704790690379563,0.22894697164039665,0.12088074356749878
15,16,0.04012911718536186,0.11936725937968927,0.06899355000914739
16,17,0.033137377896201345,0.102246967402148,0.05760443501719593
17,18,0.10304244096272848,0.4525520919280376,0.2403783100477779
18,19,0.059583086104207594,0.3225745162317947,0.14620075390994866
19,20,0.05226299313607624,0.1986534429494101,0.10493460483923701
