NET,MSE_MIN,MSE_MAX,MSE_PROM
1,0.194729845194106,0.194729845194106,0.194729845194106
2,0.08751883110287303,0.08751883110287303,0.08751883110287303
3,0.13601430433993933,0.13601430433993933,0.13601430433993933
4,0.10662201074368657,0.10662201074368657,0.10662201074368657
5,0.07381530088312069,0.07381530088312069,0.07381530088312069
6,0.18790213634865138,0.18790213634865138,0.18790213634865138
7,0.16312951201200493,0.16312951201200493,0.16312951201200493
8,0.08098361151436265,0.08098361151436265,0.08098361151436265
9,0.079517143553297,0.079517143553297,0.079517143553297
10,0.08444828966503115,0.08444828966503115,0.08444828966503115
11,0.10624646553653887,0.10624646553653887,0.10624646553653887
12,0.11387240484059308,0.11387240484059308,0.11387240484059308
13,0.07413933025833291,0.07413933025833291,0.07413933025833291
14,0.13927840130946487,0.13927840130946487,0.13927840130946487
15,0.07959170186649873,0.07959170186649873,0.07959170186649873
16,0.07292017983352443,0.07292017983352443,0.07292017983352443
17,0.08650766116346463,0.08650766116346463,0.08650766116346463
18,0.13499700427583555,0.13499700427583555,0.13499700427583555
19,0.0844013736761593,0.0844013736761593,0.0844013736761593
20,0.12339383961414818,0.12339383961414818,0.12339383961414818
